"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"456540394927685632","","","2014-04-16 21:11:26 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Quite pleased with my first ever #ISS photo on a little Canon SD780 from last night. https://t.co/Vj75rYLefp","","","","https://www.flickr.com/photos/ianinsheffield/13902531953/"
"455785149066924032","455617462156165120","7484192","2014-04-14 19:10:22 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@johnjohnston Has been far 2 long since my last Boo! Keeping other plates spinning at the mo., but hope to get back in2 my stride soon ;-)","","","",""
"455773412733231104","455772181046501376","34722043","2014-04-14 18:23:44 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","@_KirstenT Ooo, you name-dropper, you! ;-)","","","",""
"455070930071732224","","","2014-04-12 19:52:19 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Data visualisation, behavourism, social networking, scientific writing are just a FEW of the topics covered on http://t.co/anWtjKhbKI","","","","http://hlwiki.slais.ubc.ca/index.php/HLWIKI_International"
"455044461903769601","455026097764048896","19297219","2014-04-12 18:07:08 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","@mwclarkson Fair point. 'Tis a thorny one.","","","",""
"455022400892305408","455013881795342336","19297219","2014-04-12 16:39:28 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","@mwclarkson Would 'blocking' any unwanted followers do the job?","","","",""
"454912177200046080","","","2014-04-12 09:21:29 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","419-366: Lucidpress offers a new slant on DTP with the additional facility to publish  online http://t.co/0QaEkZRhgE #366Web2.0","","","","http://wp.me/p3d5jr-mn"
"454713418126475264","454706525207298048","13041662","2014-04-11 20:11:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@gideonwilliams I'd tend to agree. The study was from 2011(?), which means the sources it used will have been even earlier.","","","",""
"454712963740741632","454705912549490688","13041662","2014-04-11 20:09:53 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@gideonwilliams I suspect that set of slides could form the basis of a darned good ... discussion!","","","",""
"454712749000781824","454705912549490688","13041662","2014-04-11 20:09:02 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@gideonwilliams Were you present at a 'live' presentation? Managed to find it on t'Web, but bare slides miss a lot of the nuance of course.","","","",""
"454688315946840064","","","2014-04-11 18:31:56 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","Science Friday: James Dyson: 'Failures Are interesting &amp; should be welcomed' http://t.co/4rehqOk6tF","","","","http://bit.ly/1hGW4ZW"
"454681609313452032","454671299340959744","2228692152","2014-04-11 18:05:17 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","@IanStuart66 I know they measure horse height in hands, but a fish supper?!","","","",""
"454679998352617472","454666723544018946","13041662","2014-04-11 17:58:53 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","@gideonwilliams Yep, although technology performs many other roles in school too. Had a go @ visualising the findings http://t.co/qKXXVyjoCH","","","","http://bit.ly/1qooMpM"
